研报名称,机构名称,发布时间,行业,研报地址
机械行业2月投资策略：1月机械行业表现相对较好，重点关注人形机器人等成长板块,国信证券,2025-02-10,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202502101642941884_1.pdf?1739211697000.pdf
工程机械：国内主机厂开门红超预期，积极财政政策支撑工程机械需求,华福证券,2025-02-10,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202502101642932034_1.pdf?1739192052000.pdf
机械行业研究周报：看好燃气轮机、工程机械与机器人,国金证券,2025-02-09,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202502091642910906_1.pdf?1739109170000.pdf
工程机械海外市场分析之非洲：中资企业对外投资进程加速，矿山+基建需求增长未来可期,东吴证券,2025-02-05,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202502051642787937_1.pdf?1738762262000.pdf
机械行业周报：关注工程机械内需回暖，多家机器人企业进入商业交付阶段,上海证券,2025-01-23,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202501231642472662_1.pdf?1737622630000.pdf
机械行业月报：人形机器人加速落地，持续推荐行业向好的机器人、工程机械、船舶板块,中原证券,2025-01-21,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202501211642387757_1.pdf?1737449419000.pdf
装备制造行业周报（1月第3周）：工程机械12月销量持续向好,世纪证券,2025-01-20,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202501201642352157_1.pdf?1737364717000.pdf
机械行业周报：12月叉车内销同比转正，出口增幅继续维持较高水平,太平洋,2025-01-20,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202501201642356883_1.pdf?1737373042000.pdf
工程机械行业点评报告：12月叉车销量同比+12%，出口引领增长,东吴证券,2025-01-20,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202501201642374657_1.pdf?1737406410000.pdf
机械行业周报：看好燃气轮机、工程机械与船舶,国金证券,2025-01-19,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202501191642338241_1.pdf?1737302079000.pdf
工程机械：全国工程机械数据总体平稳，各项基础设施建设有序推进,华福证券,2025-01-19,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202501191642339283_1.pdf?1737308122000.pdf
机械行业周报：人形机器人产业端迎来密集催化，挖掘机销量实现连续9个月正增长,上海证券,2025-01-15,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202501151641929559_1.pdf?1736933140000.pdf
工程机械行业跟踪点评：12月挖机内、外销增长趋势延续，小松开工小时数同比增长19.5%,国信证券,2025-01-13,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202501131641898056_1.pdf?1736758015000.pdf
工程机械行业月度点评：挖掘机产销稳步回升，2025“两新”政策将纳入更多产品,财信证券,2025-01-13,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202501131641905256_1.pdf?1736791194000.pdf
工程机械行业深度：行业企稳改善，“国际化+电动化”带动发展,财信证券,2025-01-13,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202501131641900567_1.pdf?1736778664000.pdf
工程机械行业点评报告：12月挖掘机销量略超预期，国内景气度持续回升海外市场边际向好,东吴证券,2025-01-12,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202501121641896241_1.pdf?1736689731000.pdf
工程机械行业动态跟踪：12月挖掘机销量同比增长16.0%，12月开工小时数同比增长19.5%,华福证券,2025-01-12,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202501121641896787_1.pdf?1736708267000.pdf
机械行业周报：轨交装备景气持续，11月叉车销量稳增,上海证券,2025-01-09,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202501091641865856_1.pdf?1736414562000.pdf
机械行业1月投资策略：12制造业PMI50.1%，重点关注工程机械、检测服务等板块,国信证券,2025-01-07,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202501071641831721_1.pdf?1736239956000.pdf
机械行业2025年度策略报告：大国图强，制造先行,太平洋,2025-01-06,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202501061641816290_1.pdf?1736170370000.pdf
机械行业周报：人形机器人产业端迎来密集催化，商业化落地进程加速,上海证券,2025-01-03,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202501031641522407_1.pdf?1735896690000.pdf
工程机械：多重因素驱动，我国工程机械行业市场竞争力有望不断提升,国开证券,2025-01-03,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202501031641795495_1.pdf?1735915862000.pdf
机械行业周报：看好燃气轮机、工程机械和农业机械,国金证券,2024-12-29,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412291641462163_1.pdf?1735479152000.pdf
机械行业周报：工程机械市场内稳外增，持续关注板块投资机会,上海证券,2024-12-26,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412261641430698_1.pdf?1735201192000.pdf
机械行业月报：人形机器人量产突破，挖掘机、工业机器人产销持续复苏,中原证券,2024-12-24,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412241641407500_1.pdf?1735027649000.pdf
【工程机械】2025年度策略：看好工程机械2025年国内外共振，矿山&电动化贡献新增长点,东吴证券,2024-12-24,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412241641420038_1.pdf?1735077567000.pdf
装备制造行业周报（12月第3周）：工程机械持续结构性回暖,世纪证券,2024-12-23,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412231641391167_1.pdf?1734945369000.pdf
机械行业周报：11月挖机海关出口数据更新，同比增幅继续扩大,太平洋,2024-12-23,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412231641393839_1.pdf?1734985577000.pdf
机械行业研究周报：看好人形机器人、工程机械与农业机械,国金证券,2024-12-22,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412221641389141_1.pdf?1734868269000.pdf
工程机械：11月挖掘机销量同比增长17.9%，11月工程机械出口44.85亿美元，同比增长16.3%,华福证券,2024-12-22,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412221641389907_1.pdf?1734890123000.pdf
工程机械：出口景气度结构性改善，行业出口有望边际向好,海通国际,2024-12-20,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412201641374153_1.pdf?1734706897000.pdf
机械行业周报：特斯拉更新机器人“盲走”视频，人形机器人商业化落地进程加速,上海证券,2024-12-19,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412191641364071_1.pdf?1734631264000.pdf
工程机械行业点评报告：11月叉车销量同比+5%，内销降幅收窄,东吴证券,2024-12-18,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412181641348022_1.pdf?1734545321000.pdf
叉车月度跟踪：11月整体销量同比增长5%，内需景气持续好转，出海继续加速,海通国际,2024-12-17,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412171641327410_1.pdf?1734445745000.pdf
工程机械：国内L型底部有望确认，出口景气度结构性改善,海通国际,2024-12-17,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412171641329035_1.pdf?1734450793000.pdf
机械行业周报：中央经济工作会议召开，利好机床、机器人、工程机械板块,太平洋,2024-12-16,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412161641310454_1.pdf?1734349638000.pdf
机械行业周报：看好人形机器人、工程机械和燃气轮机,国金证券,2024-12-15,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412151641307145_1.pdf?1734282833000.pdf
机械设备行业周报：工程机械市场持续改善，多方入局人形机器人赛道,上海证券,2024-12-12,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412121641272350_1.pdf?1733998451000.pdf
机械行业2025年投资展望：中小市值估值持续修复，关注顺周期与高成长,东兴证券,2024-12-11,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412111641262383_1.pdf?1733939446000.pdf
工程机械系列报告：行业筑底回暖，国产挖机龙头走向全球,甬兴证券,2024-12-09,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412091641223120_1.pdf?1733743468000.pdf
工程机械行业月度点评：工程机械内外需求同步发力，制造业PMI景气上行,财信证券,2024-12-09,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412091641223727_1.pdf?1733751967000.pdf
工程机械行业观察及2025年信用风险展望,联合资信,2024-12-08,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412081641219314_1.pdf?1733674579000.pdf
机械行业周报：特斯拉灵巧手迭代优化，人形机器人商业化落地进程加速,上海证券,2024-12-06,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412061641202720_1.pdf?1733485182000.pdf
工程机械行业动态跟踪：主要工程机械产品开工率_小时数环比提升，CME预测11月挖掘机销售增长13%,华福证券,2024-12-06,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412061641215034_1.pdf?1733520398000.pdf
工程机械：国家政策助力拉动内需，挖掘机市场保持景气,财信证券,2024-12-04,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412041641171107_1.pdf?1733298975000.pdf
2025年度机械行业策略报告：确定性看装备出海，边际改善看内需相关,东吴证券,2024-12-03,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412031641150798_1.pdf?1733212637000.pdf
机械行业周报：宝马展大放异彩，国产厂商国际化征程加速,太平洋,2024-12-02,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412021641134433_1.pdf?1733141072000.pdf
工程机械：CME预测11月挖掘机销售增长13%，上海宝马展盛况空前,华福证券,2024-12-02,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412021641135103_1.pdf?1733147259000.pdf
机械行业周报：看好人形机器人、工程机械与船舶,国金证券,2024-12-01,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202412011641129427_1.pdf?1733059944000.pdf
工程机械行业研究：海外龙头复盘之三：“县城小铁厂”的逆袭，小松模式煜煜生辉,国金证券,2024-11-29,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411291641115828_1.pdf?1732894493000.pdf
机械行业周报：工程机械市场需求改善，半导体自主可控持续推进,上海证券,2024-11-27,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411271641084527_1.pdf?1732701457000.pdf
机械行业年度策略：顺周期机械复苏、新质生产力成长,中原证券,2024-11-27,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411271641085943_1.pdf?1732714775000.pdf
机械行业月报：关注景气度向好的顺周期机械与成长子行业龙头,中原证券,2024-11-27,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411271641092171_1.pdf?1732733653000.pdf
工程机械行业点评：欧盟高空作业平台终裁结果落地，风险释放,财信证券,2024-11-26,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411261641069808_1.pdf?1732635237000.pdf
挖掘机月度数据跟踪：10月挖机增长15.1%，开工小时和利用率有所改善,海通国际,2024-11-26,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411261641074009_1.pdf?1732643652000.pdf
机械行业周报：挖机出口提速，内外销有望迎来共振,太平洋,2024-11-25,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411251641046764_1.pdf?1732542360000.pdf
机械行业周报：看好工程机械与工业缝纫机的出口机会,国金证券,2024-11-24,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411241641042320_1.pdf?1732448361000.pdf
机械一周解一惑系列：工程机械海外龙头三季报简析,民生证券,2024-11-24,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411241641042244_1.pdf?1732459170000.pdf
工程机械：10月中国工程机械出口同比增长23.8%，挖掘机国内销量同比增长21.6%,华福证券,2024-11-24,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411241641042477_1.pdf?1732454150000.pdf
机械行业研究：首推自主可控，关注顺周期及出海,国金证券,2024-11-22,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411221641018517_1.pdf?1732267135000.pdf
工程机械行业跟踪点评：国内筑底回升，海外持续修复,国信证券,2024-11-20,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411201640974601_1.pdf?1732089993000.pdf
工程机械行业动态跟踪：10月中国小松挖掘机开工小时数同比增长4.3%，挖掘机国内销量同比增长21.6%,华福证券,2024-11-17,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411171640928893_1.pdf?1731880667000.pdf
机械行业周报：看好工程机械与科学仪器,国金证券,2024-11-17,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411171640927791_1.pdf?1731853821000.pdf
工程机械行业点评报告：10月叉车销量同比持平，关注后续内需修复趋势,东吴证券,2024-11-15,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411151640909133_1.pdf?1731679939000.pdf
工程机械行业简评报告：10月挖掘机内外销维持景气，未来工程机械需求有望持续改善,首创证券,2024-11-15,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411151640909292_1.pdf?1731681712000.pdf
机械行业2025年度投资策略：顺周期、科技成长与出海,开源证券,2024-11-14,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411131640870173_1.pdf?1731569056000.pdf
工程机械行业2024年三季报综述：三季度业绩改善明显，内外需共振助力行业景气延续,华龙证券,2024-11-14,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411141640879127_1.pdf?1731595177000.pdf
机械设备行业周报：化债政策落地，10月挖机销量延续正增,上海证券,2024-11-12,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411121640826046_1.pdf?1731404265000.pdf
机械行业周报：地方化债“三箭齐发”，提振工程机械设备需求,太平洋,2024-11-11,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411111640808960_1.pdf?1731326384000.pdf
机械工业行业周报：地方化债“三箭齐发”，10月挖机销量同比+15.1%,海通国际,2024-11-11,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411111640817838_1.pdf?1731363391000.pdf
工程机械：10月挖掘机国内销量同比增长21.6%，积极财政政策支撑工程机械需求,华福证券,2024-11-10,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411101640804239_1.pdf?1731246061000.pdf
机械行业研究周报：看好工程机械，关注船舶和工业气体板块,国金证券,2024-11-10,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411101640804617_1.pdf?1731249247000.pdf
工程机械三季报总结：国内景气度回升，海外降息有望带来需求释放,国联证券,2024-11-10,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411101640805432_1.pdf?1731265027000.pdf
机械行业周报：人形机器人产业进展频出，持续关注人形机器人产业链,上海证券,2024-11-07,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411071640757758_1.pdf?1730977536000.pdf
竞争维度提升带来工程机械竞争格局优化：迈向高质量发展,五矿证券,2024-11-07,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411071640760261_1.pdf?1730991759000.pdf
机械行业深度研究：工程机械超预期，看好顺周期拐点,国金证券,2024-11-04,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411041640698415_1.pdf?1730735271000.pdf
机械行业周报：人形机器人催化不断，产业化有望加速,太平洋,2024-11-04,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411041640700380_1.pdf?1730739431000.pdf
机械行业周报：看好工程机械，关注通用机械和自主可控板块,国金证券,2024-11-03,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202411031640686780_1.pdf?1730639440000.pdf
机械行业专题研究：先进工程机械产业链分析之河南概况,中原证券,2024-10-31,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410311640628314_1.pdf?1730362065000.pdf
机械行业月报：继续布局超跌成长子行业龙头和设备更新板块龙头,中原证券,2024-10-31,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410311640628316_1.pdf?1730361960000.pdf
机械设备行业周报：10月挖机销量延续正增，关注科技板块投资机会,上海证券,2024-10-31,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410311640633456_1.pdf?1730375549000.pdf
机械行业周报：国内价格战趋缓+海外投资产能，带动光伏设备需求,太平洋,2024-10-29,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410291640557585_1.pdf?1730198579000.pdf
工程机械行业动态跟踪：CME预测10月挖掘机国内销量同比增长18%，积极财政政策支撑工程机械需求,华福证券,2024-10-28,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410281640530122_1.pdf?1730103939000.pdf
机械行业周报：看好工程机械、铁路装备，关注农业机械,国金证券,2024-10-27,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410271640525763_1.pdf?1730028922000.pdf
工程机械行业简评报告：9月挖掘机内销增速超20%，出口延续增长势头,首创证券,2024-10-25,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410251640491650_1.pdf?1729848776000.pdf
工程机械行业动态跟踪：9月中国区域挖掘机开工小时数同比增长6.9%，积极财政政策支撑工程机械需求,华福证券,2024-10-22,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410221640398654_1.pdf?1729584932000.pdf
机械行业研究：机械行业“牛市”复盘与展望,国金证券,2024-10-22,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410221640402161_1.pdf?1729605871000.pdf
机械行业行业周报：看好工程机械，关注人形机器人板块,国金证券,2024-10-20,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410201640374009_1.pdf?1729428236000.pdf
工程机械行业点评报告：上海&北京两地陆续发布工程机械设备更新补贴政策，聚焦老旧设备淘汰&电动化趋势,东吴证券,2024-10-18,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410181640352324_1.pdf?1729238667000.pdf
机械行业周报：货币财政政策信号积极，看好工程机械内需改善,上海证券,2024-10-16,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410161640316536_1.pdf?1729071110000.pdf
工程机械行业点评报告：9月叉车出口销量同比+28.5%，内销继续承压,东吴证券,2024-10-16,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410161640327591_1.pdf?1729102927000.pdf
挖掘机月度数据跟踪：9月挖机销量维持增长，财政政策发力有望拉动需求边际改善,海通国际,2024-10-16,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410161640328691_1.pdf?1729109630000.pdf
机械工业行业周报：财政政策拟周期调节加力；9月挖掘机销量同比+10.8%,海通国际,2024-10-15,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410151640296649_1.pdf?1728986900000.pdf
工程机械行业动态跟踪：积极财政政策支撑工程机械需求，9月挖掘机内外销延续增长势头,华福证券,2024-10-15,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410151640296966_1.pdf?1728982406000.pdf
工程机械行业点评报告：北京市发布工程机械报废更新政策，助力工程机械电动化进程,东吴证券,2024-10-14,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410141640285616_1.pdf?1728919400000.pdf
机械行业周报：看好工程机械、船舶和农机板块,国金证券,2024-10-13,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410131640277131_1.pdf?1728831667000.pdf
工程机械行业动态跟踪：9月挖掘机内外销延续增长势头，各类政策多箭齐发支撑工程机械需求,华福证券,2024-10-12,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410121640276070_1.pdf?1728766622000.pdf
工程机械行业动态跟踪：政策支撑房地产市场止跌回稳，工程机械国内需求改善逻辑顺畅,华福证券,2024-10-11,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410111640265104_1.pdf?1728668081000.pdf
工程机械行业月度点评：行业企稳恢复，电动化和国际化带动盈利持续改善,财信证券,2024-10-10,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410101640250803_1.pdf?1728588359000.pdf
工程机械行业点评：工程机械杂志预测9月挖机外销同比增长近9%,国都证券,2024-10-09,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410091640221061_1.pdf?1728466457000.pdf
机械工业行业信息点评：政策持续加码，9月制造业景气度环比提升；重点关注顺周期、地产基建相关,海通国际,2024-10-08,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202410051640176579_1.pdf?1728384074000.pdf
机械行业月报：珍惜反弹机遇，重点布局严重超跌的成长行业龙头和房地产相关的工程机械、电梯行业龙头,中原证券,2024-09-30,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202409301640101997_1.pdf?1727709688000.pdf
工程机械行业点评报告：政策直接利好基建、房地产行业，工程机械主机厂有望率先受益,东吴证券,2024-09-29,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202409291640095297_1.pdf?1727647531000.pdf
机械行业周报：8月工程机械出口额持续增长，关注该板块投资机会,上海证券,2024-09-27,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202409271640070078_1.pdf?1727436354000.pdf
机械行业：通用设备有望迎顺周期拐点,东兴证券,2024-09-27,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202409271640077212_1.pdf?1727456399000.pdf
机械设备行业：9月挖机销量预计+12%，1X推出世界模型,中国银河,2024-09-26,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202409261640049484_1.pdf?1727343275000.pdf
工程机械行业简评报告：8月挖掘机内销延续增长势头，出口同比增速转正,首创证券,2024-09-25,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202409251640020405_1.pdf?1727251263000.pdf
工程机械行业点评报告：8月叉车销量同比+1%，国内需求磨底,东吴证券,2024-09-20,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202409191639948707_1.pdf?1726815414000.pdf
机械行业周报：下一代特斯拉人形机器Optimus将拥有类人筋骨，持续关注人形机器人产业链,上海证券,2024-09-20,工程机械,https://pdf.dfcfw.com/pdf/H3_AP202409201639953453_1.pdf?1726828353000.pdf
