研报名称,机构名称,发布时间,行业,研报地址
食品饮料行业2023年四季度基金持仓分析：食品饮料行业基金重仓占比下降，白酒超配比例收窄,国信证券,2024-01-30,酿酒行业,https://pdf.dfcfw.com/pdf/H3_AP202401301619507031_1.pdf?1706611140000.pdf
食品饮料行业周报：春节旺季即将进入关键阶段，密切关注边际变化,国海证券,2024-01-30,酿酒行业,https://pdf.dfcfw.com/pdf/H3_AP202401301619508563_1.pdf?1706626005000.pdf
食品饮料周报（24年第4周）：白酒进入动销验证期，关注大众品需求恢复节奏,国信证券,2024-01-29,酿酒行业,https://pdf.dfcfw.com/pdf/H3_AP202401291619273338_1.pdf?1706568409000.pdf
食品饮料行业周报：春节白酒分化，优先龙头布局,开源证券,2024-01-29,酿酒行业,https://pdf.dfcfw.com/pdf/H3_AP202401291619254441_1.pdf?1706622285000.pdf
食品饮料行业研究：白酒板块节前回款&动销如何？,国金证券,2024-01-29,酿酒行业,https://pdf.dfcfw.com/pdf/H3_AP202401291619256961_1.pdf?1706622787000.pdf
食品饮料行业深度报告：23Q4食品饮料基金持仓分析：酒类持仓环比下降，大众品持仓略升,东吴证券,2024-01-29,酿酒行业,https://pdf.dfcfw.com/pdf/H3_AP202401291619266894_1.pdf?1706548190000.pdf
食品饮料行业周报：行业春节备货冲刺阶段，软饮赛道业绩优异,上海证券,2024-01-29,酿酒行业,https://pdf.dfcfw.com/pdf/H3_AP202401291619271617_1.pdf?1706538012000.pdf
食品饮料行业周观点：2023年我国规上白酒产量同比下降2.8%，啤酒产量同比增长0.3%,万联证券,2024-01-29,酿酒行业,https://pdf.dfcfw.com/pdf/H3_AP202401291619273328_1.pdf?1706625129000.pdf
食品饮料周思考（第5周）：高端白酒稳健，零食量贩高速扩张,中泰证券,2024-01-29,酿酒行业,https://pdf.dfcfw.com/pdf/H3_AP202401291619283962_1.pdf?1706625319000.pdf
食品饮料行业周报：春运正式开启，看好消费回暖,德邦证券,2024-01-29,酿酒行业,https://pdf.dfcfw.com/pdf/H3_AP202401291619251600_1.pdf?1706532246000.pdf
食品饮料周报：食饮行业持仓下降，建议把握结构性机会,国联证券,2024-01-27,酿酒行业,https://pdf.dfcfw.com/pdf/H3_AP202401271619229266_1.pdf?1706542769000.pdf
食品饮料行业周报：23Q4持仓披露，白酒小幅减仓，大众品加仓,华金证券,2024-01-24,酿酒行业,https://pdf.dfcfw.com/pdf/H3_AP202401241617979417_1.pdf?1706086966000.pdf
食品饮料行业专题报告：23Q4持仓分析：白酒小幅减仓，大众品加仓，高股息受青睐,华金证券,2024-01-24,酿酒行业,https://pdf.dfcfw.com/pdf/H3_AP202401241617989831_1.pdf?1706091300000.pdf
食品饮料行业：逐级复苏可期，短期波动不改向好趋势,华福证券,2024-01-23,酿酒行业,https://pdf.dfcfw.com/pdf/H3_AP202401231617943812_1.pdf?1706001990000.pdf
食品饮料周报：春节回款稳步推进，关注预制菜板块,平安证券,2024-01-22,酿酒行业,https://pdf.dfcfw.com/pdf/H3_AP202401221617891610_1.pdf?1705919658000.pdf
四川白酒行业深度报告：四川上市公司巡礼之川酒篇：大刀阔斧兴产区，美美与共赴未来,川财证券,2024-01-11,酿酒行业,https://pdf.dfcfw.com/pdf/H3_AP202401111617251811_1.pdf?1704984068000.pdf
酒行业周度市场观察2023年第49周,艾瑞股份,2023-12-11,酿酒行业,https://pdf.dfcfw.com/pdf/H3_AP202312111613696667_1.pdf?1702302922000.pdf
